time,hr,quality,roi_name,skin_ratio,motion,fps,hr_method,hr_peak,hr_fft
17:40:21,132.7,78.0,peak,0.96,4.2,30.1,peak,132.7,97.9
17:40:21,132.6,80.0,peak,0.958,3.3,30.1,peak,119.9,100.8
17:40:21,132.4,80.0,peak,0.97,0.0,30.1,peak,119.9,103.9
17:40:22,132.2,80.0,peak,0.971,3.7,29.8,peak,119.9,105.9
17:40:22,132.1,78.0,peak,0.981,6.4,29.8,peak,119.8,108.9
17:40:22,131.9,78.0,p60f40,0.968,0.0,29.8,p60f40,119.8,114.6
17:40:22,131.8,74.0,p60f40,0.966,2.4,29.9,p60f40,119.8,114.3
17:40:23,131.6,55.0,p60f40,0.967,3.0,29.9,p60f40,113.6,117.4
17:40:23,131.4,57.0,p60f40,0.971,0.0,29.9,p60f40,110.0,117.6
17:40:23,131.3,62.0,p60f40,0.971,2.1,29.9,p60f40,119.8,118.7
17:40:24,131.1,56.0,p60f40,0.961,4.6,30.2,p60f40,111.8,118.8
17:40:24,130.9,54.0,peak,0.975,0.0,30.2,peak,88.6,119.9
17:40:24,130.8,53.0,p60f40,0.962,1.9,30.2,p60f40,88.6,91.9
17:40:24,130.6,62.0,peak,0.967,1.6,30.2,peak,119.9,92.0
17:40:25,130.5,47.0,peak,0.964,0.0,29.7,peak,119.6,92.1
17:40:25,130.3,50.0,peak,0.976,3.4,29.7,peak,110.0,92.2
17:40:25,130.1,58.0,peak,0.996,1.6,29.7,peak,119.6,93.2
17:40:25,130.0,65.0,peak,0.99,0.0,29.7,peak,119.6,92.9
17:40:26,129.8,65.0,peak,0.977,2.9,29.7,peak,119.6,94.3
17:40:26,129.7,65.0,peak,0.971,3.0,29.7,peak,119.6,93.7
17:40:26,129.5,65.0,peak,0.971,2.3,29.7,peak,119.6,64.5
17:40:26,129.3,66.0,peak,0.963,1.5,29.7,peak,117.2,64.8
17:40:27,129.2,65.0,peak,0.975,1.6,29.8,peak,119.6,64.9
17:40:27,129.0,65.0,peak,0.975,0.0,29.8,peak,119.6,65.0
17:40:27,128.9,65.0,peak,0.972,1.7,29.8,peak,126.7,65.0
17:40:28,128.7,55.0,peak,0.973,1.8,30.4,peak,115.0,65.3
17:40:28,128.6,55.0,peak,0.973,0.0,30.4,peak,112.6,65.1
17:40:28,128.4,60.0,peak,0.966,3.3,30.4,peak,110.2,64.5
17:40:28,128.2,57.0,peak,0.969,3.8,30.4,peak,110.2,64.2
17:40:29,128.1,60.0,peak,0.98,0.0,29.5,peak,115.0,64.1
17:40:29,127.9,61.0,peak,0.979,3.1,29.5,peak,109.0,64.2
17:40:29,127.7,49.0,peak,0.977,2.2,29.5,peak,105.9,64.6
17:40:29,127.6,48.0,peak,0.976,0.0,29.5,peak,110.2,64.3
17:40:30,127.4,50.0,peak,0.971,4.6,30.2,peak,112.6,64.1
17:40:30,127.3,59.0,peak,0.977,3.8,30.2,peak,74.3,63.7
